1	-15	-16
2	-579	-580
3	-31	-32
4	-63	-64
5	-255	-256
6	-511	-512
7	-509	-510
8	7	6
9	-253	-254
10	-507	-508
11	-505	-506
12	11	10
13	12	8
14	-73	-74
15	-125	-126
16	-251	-252
17	16	9
18	-295	-296
19	-502	-503
20	-500	-501
21	20	19
22	-498	-499
23	-248	-249
24	-496	-497
25	24	22
26	25	21
27	-494	-495
28	-246	-247
29	28	23
30	-37	-38
31	-492	-493
32	31	27
33	-244	-245
34	-488	-489
35	-60	-61
36	-121	-122
37	-486	-487
38	37	34
39	-484	-485
40	-241	-242
41	-482	-483
42	41	39
43	42	38
44	-75	-76
45	14	44
46	-29	-30
47	-239	-240
48	47	40
49	-478	-479
50	-476	-477
51	50	49
52	-304	-305
53	-237	-238
54	-474	-475
55	-472	-473
56	55	54
57	56	51
58	-470	-471
59	-234	-235
60	-468	-469
61	60	58
62	-466	-467
63	-232	-233
64	63	59
65	-464	-465
66	65	62
67	66	61
68	-462	-463
69	-230	-231
70	-460	-461
71	70	68
72	-458	-459
73	-228	-229
74	73	69
75	74	64
76	-311	-312
77	-454	-455
78	-226	-227
79	-452	-453
80	79	77
81	-450	-451
82	-111	-112
83	-223	-224
84	-447	-448
85	-445	-446
86	85	84
87	-313	-314
88	76	87
89	-443	-444
90	-220	-221
91	-441	-442
92	91	89
93	92	86
94	-158	-159
95	-109	-110
96	-438	-439
97	-436	-437
98	-217	-218
99	-433	-434
100	-53	-54
101	-107	-108
102	-431	-432
103	-428	-429
104	-213	-214
105	-426	-427
106	105	103
107	-105	-106
108	107	101
109	-321	-322
110	-419	-420
111	-51	-52
112	111	100
113	-415	-416
114	-102	-103
115	-205	-206
116	-409	-410
117	-100	-101
118	117	114
119	-323	-324
120	109	119
121	-49	-50
122	-399	-400
123	-397	-398
124	123	122
125	-394	-395
126	-390	-391
127	-96	-97
128	-387	-388
129	-384	-385
130	-197	-198
131	-402	-403
132	-23	-24
133	-47	-48
134	133	121
135	134	112
136	-330	-331
137	-382	-383
138	137	129
139	-332	-333
140	136	139
141	-190	-191
142	-380	-381
143	-378	-379
144	143	142
145	-188	-189
146	145	141
147	-93	-94
148	-374	-375
149	-186	-187
150	-371	-372
151	-184	-185
152	151	149
153	152	146
154	-336	-337
155	-369	-370
156	155	150
157	-364	-365
158	-89	-90
159	-179	-180
160	-177	-178
161	160	159
162	-352	-353
163	-43	-44
164	-86	-87
165	-173	-174
166	-171	-172
167	166	165
168	-341	-342
169	-21	-22
170	169	132
171	-339	-340
172	-169	-170
173	-84	-85
174	-334	-335
175	174	154
176	140	175
177	-166	-167
178	-164	-165
179	178	177
180	-328	-329
181	-423	-424
182	-316	-317
183	-326	-327
184	183	180
185	-11	-12
186	-41	-42
187	186	163
188	-161	-162
189	-80	-81
190	-56	-57
191	-78	-79
192	191	189
193	-156	-157
194	193	94
195	-58	-59
196	195	35
197	-118	-119
198	-480	-481
199	-153	-154
200	-39	-40
201	30	200
202	201	187
203	-297	-298
204	18	203
205	-302	-303
206	205	52
207	-293	-294
208	-149	-150
209	-5	-6
210	-9	-10
211	210	185
212	-19	-20
213	-147	-148
214	213	208
215	-145	-146
216	-290	-291
217	-288	-289
218	217	216
219	-577	-578
220	219	2
221	-17	-18
222	221	212
223	-35	-36
224	-143	-144
225	224	215
226	225	214
227	-575	-576
228	-286	-287
229	-573	-574
230	229	227
231	-571	-572
232	-284	-285
233	232	228
234	-569	-570
235	234	231
236	-141	-142
237	-567	-568
238	-282	-283
239	-565	-566
240	239	237
241	-563	-564
242	-280	-281
243	242	238
244	243	233
245	-561	-562
246	245	241
247	-139	-140
248	247	236
249	-559	-560
250	-278	-279
251	-557	-558
252	251	249
253	-555	-556
254	-553	-554
255	254	253
256	-68	-69
257	-137	-138
258	-275	-276
259	-551	-552
260	-549	-550
261	260	259
262	-547	-548
263	-272	-273
264	-545	-546
265	264	262
266	-135	-136
267	266	257
268	267	248
269	-543	-544
270	-541	-542
271	270	269
272	-539	-540
273	-537	-538
274	273	272
275	-66	-67
276	-535	-536
277	-266	-267
278	-533	-534
279	278	276
280	279	274
281	-531	-532
282	-264	-265
283	-529	-530
284	283	281
285	-527	-528
286	-525	-526
287	286	285
288	287	284
289	288	280
290	-130	-131
291	-261	-262
292	-523	-524
293	-521	-522
294	293	292
295	-519	-520
296	-517	-518
297	296	295
298	297	294
299	-515	-516
300	-513	-514
301	300	299
302	271	265
303	261	255
304	302	303
305	289	304
306	252	246
307	268	226
308	240	235
309	306	308
310	230	220
311	67	57
312	-134	307
313	176	-338
314	-440	93
315	153	-192
316	-183	315
317	75	-236
318	317	53
319	318	48
320	78	319
321	320	-243
322	321	33
323	322	29
324	323	-250
325	-504	13
326	311	198
327	71	326
328	327	43
329	72	328
330	-46	135
331	184	313
332	-325	331
333	120	332
334	325	301
335	334	298
336	335	305
337	336	309
338	337	310
339	26	338
340	32	339
341	-491	340
342	204	-299
343	167	-175
344	172	343
345	194	-160
346	-155	345
347	-368	156
348	88	-315
349	348	182
350	206	-306
351	-377	144
352	-425	106
353	118	-104
354	353	108
355	45	-77
356	355	192
357	196	-62
358	190	357
359	250	244
360	-277	359
361	223	202
362	-8	211
363	-320	333
364	-435	97
365	131	-404
366	-363	157
367	-430	102
368	-418	110
369	-408	116
370	-274	258
371	-263	282
372	-222	83
373	90	372
374	36	-123
375	82	-113
376	-457	329
377	81	80
378	147	-95
379	-92	378
380	-83	173
381	379	127
382	-65	275
383	4	382
384	324	17
385	125	-396
386	124	-401
387	162	-354
388	-212	104
389	-393	385
390	-490	341
391	128	-389
392	-346	-347
393	374	-124
394	-300	-301
395	-417	368
396	171	168
397	-366	-367
398	349	-318
399	-355	-356
400	-359	-360
401	-358	400
402	370	360
403	-319	363
404	397	347
405	188	-163
406	-195	-196
407	199	346
408	-307	-308
409	365	-405
410	-386	391
411	352	367
412	-268	-269
413	-343	-344
414	-449	377
415	414	-456
416	-348	-349
417	-98	-99
418	-412	-413
419	-406	-407
420	-421	-422
421	-260	291
422	-33	-34
423	-194	406
424	387	399
425	-309	-310
426	138	410
427	99	364
428	-411	418
429	428	-414
430	-7	362
431	408	425
432	-70	-71
433	-208	-209
434	-207	433
435	-361	-362
436	-351	424
437	416	-350
438	437	436
439	-128	-129
440	-203	-204
441	-210	-211
442	-201	-202
443	-257	-258
444	443	-259
445	-132	-133
446	-199	-200
447	-181	-182
448	-114	-115
449	448	-116
450	-270	-271
451	-215	-216
452	-151	-152
453	-26	-27
454	-127	439
455	453	-28
456	-13	-14
457	-2	-3
458	-1	457
459	458	-4
460	446	442
461	460	440
462	-25	455
463	434	441
464	449	-117
465	432	-72
466	351	426
467	413	-345
468	420	181
469	389	386
470	412	450
471	277	470
472	-357	401
473	438	472
474	-193	423
475	126	-392
476	148	-376
477	476	466
478	467	392
479	478	473
480	479	435
481	429	113
482	98	-219
483	451	482
484	5	444
485	-292	207
486	164	-88
487	130	461
488	474	487
489	158	-91
490	197	-120
491	373	-225
492	464	490
493	-176	161
494	493	447
495	427	96
496	495	314
497	-373	477
498	404	497
499	419	369
500	409	499
501	290	445
502	454	501
503	-82	380
504	456	1
505	484	421
506	179	-168
507	468	411
508	3	422
509	463	388
510	256	465
511	509	483
512	486	489
513	462	46
514	513	508
515	459	209
516	263	402
517	516	218
518	-55	358
519	342	394
520	485	519
521	15	502
522	-45	330
523	115	511
524	488	523
525	371	471
526	505	525
527	503	512
528	375	492
529	95	528
530	481	395
531	500	530
532	504	222
533	452	407
534	381	417
535	527	534
536	405	506
537	431	398
538	396	480
539	393	521
540	529	539
541	475	469
542	498	541
543	536	344
544	538	366
545	544	542
546	383	510
547	515	430
548	547	532
549	170	514
550	548	549
551	496	415
552	531	507
553	524	491
554	552	551
555	543	494
556	533	555
557	520	350
558	557	537
559	518	546
560	354	540
561	535	560
562	522	559
563	316	553
564	556	563
565	562	356
566	565	561
567	550	361
568	567	566
569	526	517
570	569	558
571	570	403
572	554	376
573	572	390
574	312	564
575	568	574
576	571	545
577	575	384
578	577	576
579	578	573
